"Location","Services","Service add-ons","Products","Memberships","Shipping fees","Late cancellation fees","No show fees","Total sales","Gift cards","Service charges","Tips","Total other sales","Total sales + other sales","Services sold","Avg. service value","Service add-ons sold","Avg. service add-on value","Products sold","Avg. product value","Services","Service add-ons","Products","Memberships","Gift cards","Total upsell","% Upsell","Online appts","Fresha marketplace","Book Now Link","Facebook","Instagram","Marketplace - Google Reserve","Auto campaigns","Blast messages","% Online appts","Offline appts","% Offline appts","Total appts","% requested by client","Cancelled appts","% Cancelled appts","No show appts","% No show appts","Online appts","Fresha marketplace","Book Now Link","Facebook","Instagram","Marketplace - Google Reserve","Auto campaigns","Blast messages","% Online appts","Offline appts","% Offline appts","Total appts value","Avg. service per appt","Avg. appt value","Gift card opening balance","Issued value","Expired value","Redeemed value","Refunded value","Gift card balance","Upfront payment opening balance","Collections","Redemptions","Refunds","Upfront payment balance","Total liabilities","Scheduled hours","Time off hours","Blocked hours","Available hours","Booked hours","% Occupancy","Unbooked hours","New clients","% New clients","Returning clients","% Returning clients","Walk-ins","% Walk-In clients","Total clients","Rebooked clients","% Rebooked clients","% Non-rebooked clients","Avg. client rating","No. of client reviews"
"Diamond Barbers - BELLAMACK","7659,5","10","163,9","0","0","24","72,5","7929,9","0","194,57","311,74","194,57","8124,47","203","37,7315270936","1","10","6","27,3166666667","0","0","34","0","0","34","0.4438932%","131","17","87","0","0","27","0","0","72.7778%","49","27.2222%","180","35%","6","3.3333%","3","1.6667%","5880,5","697,25","3921,5","0","0","1261,75","0","0","72.23757754%","2260","27.76242246%","8140,5","1,194444","45,225","-373,41","0","0","0","0","-373,41","0","0","0","0","0","-373,41","140h 0m","0m","14h 0m","126h 0m","69h 50m","55,4233","56h 10m","19","12.1795%","137","87.8205%","9","5.4545%","156","2","1.2821%","98.7179%","5","8"
"Diamond Barbers - CASUARINA","9631,7","20","627","0","0","0","50","10328,7","0","339,46","36,3","339,46","10668,16","249","38,6815261044","2","10","25","25,08","70","20","32","0","0","122","1.26665075%","90","18","55","0","0","17","0","0","44.7761%","111","55.2239%","201","31.8408%","9","4.4776%","0","0%","4384,2","927,5","2715,4","0","0","741,3","0","0","43.24009784%","5755","56.75990216%","10139,2","1,303483","50,4437810945","226","12","0","0","0","238","0","0","0","0","0","238","167h 0m","0m","22h 25m","145h 30m","85h 15m","58,5911","60h 15m","54","34.6154%","102","65.3846%","35","18.3246%","156","1","0.641%","99.359%","5","7"
"Diamond Barbers - COOLALINGA","7493,95","0","198","0","0","0","85","7776,95","0","145,45","122,91","145,45","7922,4","193","38,8287564767","0","0","6","33","0","0","68","0","0","68","0.90739863%","115","16","85","0","0","14","0","0","68.0473%","54","31.9527%","169","49.7041%","3","1.7751%","4","2.3669%","5571,95","756,25","4107,95","0","0","707,75","0","0","70.05261537%","2382","29.94738463%","7953,95","1,207101","47,0647928994","660,11","0","0","0","0","660,11","0","0","0","0","0","660,11","138h 0m","0m","11h 0m","127h 0m","67h 25m","53,084","59h 35m","18","13.7405%","113","86.2595%","27","17.0886%","131","1","0.7634%","99.2366%","5","13"
"Diamond Barbers - DARWIN CBD","8658,8","0","241,9","0","0","0","0","8900,7","0","170,61","257,84","170,61","9071,31","222","39,0036036036","0","0","7","34,5571428571","55","0","0","0","0","55","0.63519194%","103","15","64","0","0","24","0","0","53.9267%","88","46.0733%","191","33.5079%","6","3.1414%","3","1.5707%","4933,8","730,3","2964,75","0","0","1238,75","0","0","53.8107495%","4235","46.1892505%","9168,8","1,235602","48,0041884817","18,15","0","0","0","0","18,15","0","0","0","0","0","18,15","137h 30m","0m","15h 45m","122h 0m","76h 25m","62,6366","45h 35m","19","16.8142%","94","83.1858%","68","37.5691%","113","2","1.7699%","98.2301%","4,888889","9"
"Diamond Barbers - DELUXE","3455,75","30","217","0","0","0","0","3702,75","0","33,59","151,48","33,59","3736,34","87","39,7212643678","3","10","14","15,5","0","10","5","0","0","15","0.43405918%","46","7","27","0","0","12","0","0","67.6471%","22","32.3529%","68","47.0588%","3","4.4118%","1","1.4706%","2677,75","396,25","1498,25","0","0","783,25","0","0","69.84675579%","1156","30.15324421%","3833,75","1,426471","56,3786764706","930,91","440","0","0","0","1370,91","0","0","0","0","0","1370,91","60h 0m","0m","0m","60h 10m","32h 45m","54,4321","27h 25m","10","18.1818%","45","81.8182%","7","11.2903%","55","1","1.8182%","98.1818%","5","4"
"Diamond Barbers - PARAP","11633,6","20","208,3","0","0","9,5","95","11966,4","0","287,78","131,28","287,78","12254,18","309","37,6491909385","2","10","6","34,7166666667","35","10","66,3","0","0","111,3","0.95671159%","191","30","141","0","0","19","1","0","68.705%","87","31.295%","278","44.964%","16","5.7554%","4","1.4388%","8663,2","1392,5","6425,2","0","0","820,5","25","0","69.60294378%","3783,4","30.39705622%","12446,6","1,197842","44,771942446","2114,28","40","0","-143,42","0","2010,86","0","0","0","0","0","2010,86","179h 30m","0m","22h 30m","157h 0m","109h 15m","69,586","47h 45m","36","15%","204","85%","10","4%","240","9","3.75%","96.25%","5","14"
"Diamond Barbers - YARRAWONGA","5204","0","218","0","0","0","0","5422","0","92,41","369,57","92,41","5514,41","135","38,5481481481","0","0","15","14,5333333333","0","0","0","0","0","0","0%","72","8","46","0","0","18","0","0","63.1579%","42","36.8421%","114","46.4912%","6","5.2632%","0","0%","3301,5","372,5","2091,75","0","0","837,25","0","0","60.28485346%","2175","39.71514654%","5476,5","1,236842","48,0394736842","878,63","0","0","0","0","878,63","0","0","0","0","0","878,63","100h 0m","0m","9h 0m","91h 0m","48h 25m","53,2051","42h 35m","16","18.3908%","71","81.6092%","19","17.9245%","87","2","2.2989%","97.7011%","5","5"
