"Location","Services","Service add-ons","Products","Memberships","Shipping fees","Late cancellation fees","No show fees","Total sales","Gift cards","Service charges","Tips","Total other sales","Total sales + other sales","Services sold","Avg. service value","Service add-ons sold","Avg. service add-on value","Products sold","Avg. product value","Services","Service add-ons","Products","Memberships","Gift cards","Total upsell","% Upsell","Online appts","Fresha marketplace","Book Now Link","Facebook","Instagram","Marketplace - Google Reserve","Auto campaigns","Blast messages","% Online appts","Offline appts","% Offline appts","Total appts","% requested by client","Cancelled appts","% Cancelled appts","No show appts","% No show appts","Online appts","Fresha marketplace","Book Now Link","Facebook","Instagram","Marketplace - Google Reserve","Auto campaigns","Blast messages","% Online appts","Offline appts","% Offline appts","Total appts value","Avg. service per appt","Avg. appt value","Gift card opening balance","Issued value","Expired value","Redeemed value","Refunded value","Gift card balance","Upfront payment opening balance","Collections","Redemptions","Refunds","Upfront payment balance","Total liabilities","Scheduled hours","Time off hours","Blocked hours","Available hours","Booked hours","% Occupancy","Unbooked hours","New clients","% New clients","Returning clients","% Returning clients","Walk-ins","% Walk-In clients","Total clients","Rebooked clients","% Rebooked clients","% Non-rebooked clients","Avg. client rating","No. of client reviews"
"Diamond Barbers Night Markets","2625","0","34","0","0","0","0","2659","0","108,57","72,2","108,57","2767,57","68","38,6029411765","0","0","1","34","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0%","57","100%","57","0%","0","0%","0","0%","0","0","0","0","0","0","0","0","0%","2625","100%","2625","1,192982","46,0526315789","19","0","0","0","0","19","0","0","0","0","0","19","28h 0m","0m","10m","28h 15m","23h 35m","83,4808","4h 40m","1","100%","0","0%","56","98.2456%","1","0","0%","100%","0","0"
"Diamond Barbers Northern Beaches","6184,3","0","98","0","0","17,5","0","6299,8","0","55,5","240,77","55,5","6355,3","156","39,6429487179","0","0","3","32,6666666667","120","0","32","0","0","152","2.45783678%","102","12","67","0","0","20","2","1","76.1194%","32","23.8806%","134","62.6866%","9","6.7164%","1","0.7463%","5103,3","578","3327,1","0","0","1074,7","76","47,5","76.11980371%","1601","23.88019629%","6704,3","1,261194","50,0320895522","150","0","0","0","0","150","0","0","0","0","0","150","126h 30m","0m","28h 0m","99h 5m","59h 50m","60,3869","39h 15m","23","21.2963%","85","78.7037%","11","9.2437%","108","2","1.8519%","98.1481%","5","8"
"Diamond Barbers Rising Sun","10929,5","0","231","0","0","12,5","25","11198","0","274,91","37","274,91","11472,91","269","40,6301115242","0","0","7","33","30","0","98","0","0","128","1.17114232%","211","37","139","0","0","32","1","2","81.1538%","49","18.8462%","260","63.4615%","18","6.9231%","6","2.3077%","10164,5","1787","6727,75","0","0","1514,75","45","90","82.70881647%","2125","17.29118353%","12289,5","1,146154","47,2673076923","50","0","0","0","0","50","0","0","0","0","0","50","190h 0m","0m","42h 25m","147h 50m","104h 15m","70,5186","43h 35m","33","14.8649%","189","85.1351%","13","5.5319%","222","7","3.1532%","96.8468%","5","11"
"Diamond Barbers Showgrounds","9354,9","0","366","0","0","0","42,5","9763,4","0","229,39","92,84","229,39","9992,79","231","40,4974025974","0","0","11","33,2727272727","70","0","96","0","0","166","1.77447113%","143","14","95","0","0","33","0","1","66.8224%","71","33.1776%","214","42.5234%","12","5.6075%","4","1.8692%","6734,9","652,75","4487,3","0","0","1552,35","0","42,5","65.61096552%","3530","34.38903448%","10264,9","1,17757","47,9668224299","341,66","0","0","0","0","341,66","0","0","0","0","0","341,66","167h 0m","0m","14h 15m","153h 30m","90h 45m","59,1205","62h 45m","35","21.875%","125","78.125%","36","18.3673%","160","2","1.25%","98.75%","5","8"
